HINQ302_Migration_Data_assessment_2.1
HINQ302_Migration_Data_assessment_2.1,,,,,,,,,,,,,,,,,
unique_identifier,city_origin,ship_name,travel_class,first_name,second_name,age_years,date_disembarked,day_disembarked,month_disembarked,year_disembarked,gender-type,race_group,occupation_type,destination_city,deck_number,,comment_data_and_sources
25,liverpool,carpathia,third,jenna,oh,0,18/04/1912,18,4,1912,female,hispanic,mason,new york,1,,
26,liverpool,celtic,third,austin,bird,33,20/04/1912,20,4,1912,female,hispanic,weaver,new york,5,,
27,southampton,olympic,second,rachel,welch,3,18/04/1912,18,4,1912,male,asian,tailor,new york,4,,
28,liverpool,lusitania,first,richard,pinto,57,15/04/1912,15,4,1912,male,other,shoemaker,new york,5,,
29,liverpool,adriatic,second,michael,youngblood,79,16/04/1912,16,4,1912,male,hispanic,miner,cherbourg,1,,
30,liverpool,aquitania,third,taylor,lackey,37,18/04/1912,18,4,1912,female,white,farmer,new york,2,,
31,liverpool,celtic,third,nadeera,al-saeed,8,15/04/1912,15,4,1912,female,asian,baker,new york,1,,
32,southampton,britannic,second,christopher,hatchett,40,20/04/1912,20,4,1912,male,black,miner,new york,5,,
33,liverpool,aquitania,second,alexia,palma,22,18/04/1912,18,4,1912,female,asian,blacksmith,new york,3,,
34,liverpool,aquitania,second,doncey,romero,16,16/04/1912,16,4,1912,male,white,blacksmith,new york,5,,
35,southampton,olympic,second,sean,chavez,59,18/04/1912,18,4,1912,male,black,merchant,new york,2,,
36,southampton,britannic,second,laura,fleecs,17,18/04/1912,18,4,1912,female,other,baker,new york,4,,
37,liverpool,mauretania,third,kolten,farmer,4,15/04/1912,15,4,1912,male,white,shoemaker,new york,5,,
38,liverpool,carpathia,third,adam,kim,7,17/04/1912,17,4,1912,male,hispanic,farmer,cherbourg,2,,
39,southampton,britannic,second,ibrahim,smoot,67,18/04/1912,18,4,1912,female,white,shoemaker,new york,2,,
40,liverpool,carpathia,third,najeeb,al-shariff,7,15/04/1912,15,4,1912,female,hispanic,carpenter,new york,2,,
41,southampton,olympic,first,nicholas,livingston,90,19/04/1912,19,4,1912,female,asian,farmer,new york,4,,
42,liverpool,carpathia,first,shawnia,liggett,no data,17/04/1912,17,4,1912,female,asian,farmer,new york,3,,
43,liverpool,baltic,third,javan,thompkins jr,90,15/04/1912,15,4,1912,female,hispanic,farmer,new york,5,,
44,southampton,olympic,second,angelique,amerson,7,15/04/1912,15,4,1912,male,white,carpenter,new york,4,,
45,liverpool,celtic,first,kelsey,bell,39,16/04/1912,16,4,1912,female,asian,farmer,new york,4,,
46,southampton,titanic,third,naasif,el-othman,8,19/04/1912,19,4,1912,male,white,farmer,cherbourg,5,,
47,liverpool,celtic,second,najeeah,sally,19,19/04/1912,19,4,1912,female,other,mason,new york,2,,"The entry nineteen-two as an age variable is ambiguous. It could be 19 years and 2 months but this would need to be confirmed from the source, if possible. For the current purpose of this data set it will be entered as 19."
48,liverpool,celtic,third,rachel,isgar,87,19/04/1912,19,4,1912,male,black,baker,new york,4,,
49,liverpool,aquitania,first,mimi,del valle,70,16/04/1912,16,4,1912,female,asian,tailor,new york,4,,
50,liverpool,lusitania,second,shameem,el-ally,8,18/04/1912,18,4,1912,male,white,shoemaker,new york,4,,
51,liverpool,celtic,second,jennifer,jacobs,26,15/04/1912,15,4,1912,male,white,weaver,new york,3,,
52,liverpool,celtic,third,tony,branham,97,19/04/1912,19,4,1912,male,black,merchant,new york,3,,
53,liverpool,aquitania,second,kiana,sawyer,19,18/04/1912,18,4,1912,male,white,carpenter,new york,3,,
54,southampton,olympic,third,bailey,meckling,76,15/04/1912,15,4,1912,male,other,miner,new york,5,,
55,liverpool,carpathia,third,tyler,grams,54,16/04/1912,16,4,1912,male,black,merchant,cherbourg,3,,
56,liverpool,celtic,third,austin,gonzales,27,20/04/1912,20,4,1912,male,white,blacksmith,new york,5,,
57,liverpool,baltic,second,aneesa,al-amen,21,17/04/1912,17,4,1912,male,hispanic,none,new york,3,,
58,liverpool,adriatic,third,martin,flores velazquez,72,15/04/1912,15,4,1912,female,asian,mason,new york,1,,
59,liverpool,aquitania,second,keeman,irwin,34,18/04/1912,18,4,1912,female,other,blacksmith,new york,4,,
60,southampton,britannic,third,savio,mitta,81,17/04/1912,17,4,1912,female,other,blacksmith,new york,5,,
61,liverpool,lusitania,third,samuel,jacobi,6,19/04/1912,19,4,1912,male,white,merchant,new york,2,,
62,liverpool,celtic,first,jacob,donello,0,15/04/1912,15,4,1912,female,white,none,new york,5,,
63,liverpool,celtic,first,shaquasia,reed-bankston,9,15/04/1912,15,4,1912,female,hispanic,miner,new york,2,,
64,liverpool,carpathia,second,giovanna,wood,61,19/04/1912,19,4,1912,male,hispanic,weaver,new york,4,,
65,liverpool,adriatic,second,ethan,heumann,25,15/04/1912,15,4,1912,male,other,baker,new york,3,,
66,liverpool,lusitania,third,casey,minor,4,16/04/1912,16,4,1912,female,hispanic,tailor,cherbourg,2,,
67,liverpool,baltic,second,damari,manning jr,27,15/04/1912,15,4,1912,male,other,shoemaker,new york,2,,
68,liverpool,adriatic,second,kenneth,canty,19,20/04/1912,20,4,1912,female,other,tailor,new york,2,,"The entry nineteen-three as an age variable is ambiguous. It could be nineteen years and three months but this would need to be confirmed from the source, if possible. For the current purpose of this dataset it will be entered as 19."
69,liverpool,mauretania,second,jasmine,romero,29,18/04/1912,18,4,1912,male,black,blacksmith,new york,4,,
70,liverpool,adriatic,second,hannah,arellano,2,19/04/1912,19,4,1912,female,hispanic,miner,new york,2,,
71,southampton,britannic,second,lea,pisarski,73,18/04/1912,18,4,1912,male,hispanic,tailor,new york,3,,
72,liverpool,celtic,second,asmaa,al-akbar,78,15/04/1912,15,4,1912,male,hispanic,blacksmith,cherbourg,5,,
73,liverpool,mauretania,third,sierra,brown,28,16/04/1912,16,4,1912,female,black,miner,new york,2,,
74,liverpool,carpathia,third,fabiola,montes,75,16/04/1912,16,4,1912,female,black,tailor,new york,5,,
75,liverpool,carpathia,first,vanessa,marquez,17,17/04/1912,17,4,1912,female,hispanic,blacksmith,new york,3,,
76,liverpool,celtic,first,peyton,shearer,3,15/04/1912,15,4,1912,male,other,blacksmith,cherbourg,3,,
77,liverpool,aquitania,first,samantha,karki,44,19/04/1912,19,4,1912,male,asian,mason,new york,3,,
78,liverpool,aquitania,third,tara,strohl,47,17/04/1912,17,4,1912,male,black,weaver,new york,5,,
79,southampton,titanic,first,karen,lucio martinez,48,16/04/1912,16,4,1912,male,white,mason,new york,4,,
80,liverpool,mauretania,third,nazeeha,al-saeed,0,20/04/1912,20,4,1912,male,white,mason,new york,2,,
81,southampton,olympic,first,william,barkdoll,10,19/04/1912,19,4,1912,male,hispanic,baker,new york,4,,
82,liverpool,baltic,first,haakima,el-hussain,54,16/04/1912,16,4,1912,male,hispanic,miner,new york,5,,
83,liverpool,lusitania,first,sean,berumen-gonzalez,75,17/04/1912,17,4,1912,male,hispanic,miner,new york,2,,
84,liverpool,baltic,first,rachael,culpepper,77,20/04/1912,20,4,1912,female,other,weaver,new york,2,,
85,southampton,titanic,second,derika,robb,75,16/04/1912,16,4,1912,female,other,blacksmith,new york,4,,
86,liverpool,baltic,second,quraish,al-syed,1,19/04/1912,19,4,1912,female,other,mason,new york,4,,
87,liverpool,adriatic,second,phuong,campbell,85,17/04/1912,17,4,1912,male,asian,blacksmith,new york,1,,
88,southampton,titanic,second,alexandria,powell,1,15/04/1912,15,4,1912,male,white,shoemaker,new york,4,,
89,southampton,britannic,first,darartu,goosby,0,16/04/1912,16,4,1912,male,black,farmer,new york,4,,
90,liverpool,celtic,third,brittney,bustamante,85,16/04/1912,16,4,1912,female,other,baker,new york,2,,
91,liverpool,aquitania,third,jarret,higgins,65,17/04/1912,17,4,1912,female,asian,shoemaker,new york,5,,
92,liverpool,lusitania,third,sarah,silas,90,17/04/1912,17,4,1912,male,white,mason,new york,1,,
93,liverpool,celtic,second,paul james,kloberdanz,93,18/04/1912,18,4,1912,male,hispanic,miner,new york,3,,
94,liverpool,mauretania,third,derik,frees,63,16/04/1912,16,4,1912,male,white,farmer,new york,3,,
95,liverpool,lusitania,second,saleel,al-zia,20,19/04/1912,19,4,1912,female,black,merchant,new york,1,,
96,liverpool,adriatic,first,zaidaan,al-shahan,16,20/04/1912,20,4,1912,male,asian,tailor,new york,5,,
97,liverpool,celtic,first,erica,vigil,38,18/04/1912,18,4,1912,female,other,weaver,new york,3,,
98,liverpool,mauretania,second,zachariah,jensen,63,16/04/1912,16,4,1912,male,white,shoemaker,new york,5,,
99,liverpool,aquitania,second,eric,arteaga,20,16/04/1912,16,4,1912,male,black,baker,new york,3,,
100,southampton,britannic,second,allan,grimm,61,19/04/1912,19,4,1912,male,hispanic,carpenter,new york,1,,
101,liverpool,lusitania,first,carlito,john,42,15/04/1912,15,4,1912,male,hispanic,blacksmith,new york,1,,
102,liverpool,carpathia,third,juan,lopez,17,17/04/1912,17,4,1912,male,hispanic,carpenter,new york,3,,
103,liverpool,mauretania,first,favio,chavez,15,15/04/1912,15,4,1912,female,asian,miner,new york,5,,
104,southampton,titanic,third,amanda,thinn,11,15/04/1912,15,4,1912,female,white,baker,new york,3,,
105,liverpool,baltic,first,david,mutch,8,16/04/1912,16,4,1912,male,hispanic,miner,new york,3,,
106,liverpool,aquitania,first,isaac,flores,2,19/04/1912,19,4,1912,female,hispanic,miner,new york,2,,
107,liverpool,carpathia,third,destinee,thomas,8,18/04/1912,18,4,1912,male,hispanic,shoemaker,new york,2,,
108,liverpool,mauretania,second,de jon,kovinchick,4,17/04/1912,17,4,1912,male,black,shoemaker,cherbourg,2,,
109,liverpool,adriatic,first,nesselle,tesfamariam,3,18/04/1912,18,4,1912,male,other,miner,new york,5,,
110,liverpool,aquitania,third,shaheer,al-mussa,2,20/04/1912,20,4,1912,female,white,mason,new york,5,,
111,southampton,olympic,third,jacob,gilmore,47,16/04/1912,16,4,1912,male,other,mason,new york,4,,
112,liverpool,aquitania,second,naadiya,el-habeeb,25,15/04/1912,15,4,1912,male,white,none,new york,4,,
113,liverpool,aquitania,second,j,campton,70,15/04/1912,15,4,1912,female,black,baker,new york,1,,
114,liverpool,mauretania,third,zubaida,al-salehi,1,16/04/1912,16,4,1912,male,white,merchant,new york,5,,
115,southampton,olympic,third,ahmose,smith,67,17/04/1912,17,4,1912,female,hispanic,merchant,new york,4,,
116,southampton,olympic,first,michael,doering,2,19/04/1912,19,4,1912,female,asian,farmer,new york,2,,
117,southampton,britannic,second,jumaima,al-molla,19,19/04/1912,19,4,1912,female,black,shoemaker,new york,4,,"The entry nineteen-six as an 'age' variable is ambiguous. It could be nineteen years and six months but this would need to be confirmed from the source, if possible. For the current purpose of this dataset it will be entered as 19."
118,southampton,britannic,first,debra,day,2,17/04/1912,17,4,1912,male,black,merchant,cherbourg,1,,
119,liverpool,aquitania,first,dominic,babatunde,2,16/04/1912,16,4,1912,female,asian,weaver,new york,3,,
120,liverpool,celtic,third,tufail,al-asad,100,17/04/1912,17,4,1912,male,other,weaver,new york,4,,
121,southampton,titanic,first,sooraj,daniels,42,15/04/1912,15,4,1912,male,white,baker,new york,1,,
122,southampton,titanic,second,nicholas,castillo,6,19/04/1912,19,4,1912,male,black,tailor,new york,4,,
123,liverpool,adriatic,second,hunter,york,47,15/04/1912,15,4,1912,male,white,miner,new york,4,,
124,southampton,titanic,third,nicole,woo,31,16/04/1912,16,4,1912,female,black,weaver,new york,5,,
125,southampton,titanic,second,austin,delger,7,15/04/1912,15,4,1912,female,black,baker,new york,3,,
126,liverpool,aquitania,third,eric,quezada,37,19/04/1912,19,4,1912,female,asian,merchant,new york,5,,
127,liverpool,carpathia,third,courtney,doerr,41,17/04/1912,17,4,1912,male,hispanic,merchant,new york,4,,
128,liverpool,lusitania,second,william,miller,5,19/04/1912,19,4,1912,male,other,carpenter,new york,1,,
129,liverpool,mauretania,third,liana,mcgowan,55,18/04/1912,18,4,1912,female,hispanic,carpenter,new york,1,,
130,liverpool,lusitania,third,jamal,washington,4,18/04/1912,18,4,1912,male,black,merchant,new york,1,,
131,liverpool,adriatic,second,ana,vargas,10,17/04/1912,17,4,1912,female,white,carpenter,cherbourg,4,,
132,liverpool,lusitania,second,cassandra,spady,19,18/04/1912,18,4,1912,female,other,tailor,new york,2,,
133,liverpool,mauretania,third,david,eckstrom,57,20/04/1912,20,4,1912,male,black,none,new york,2,,
134,liverpool,baltic,third,niavis,waite,98,17/04/1912,17,4,1912,male,black,mason,new york,3,,
135,liverpool,mauretania,second,raymond,crowghost,100,18/04/1912,18,4,1912,male,black,miner,new york,3,,
136,southampton,britannic,first,silvia,delacruz-naranjo,40,15/04/1912,15,4,1912,male,other,weaver,new york,4,,
137,liverpool,aquitania,first,christian,etchells,56,15/04/1912,15,4,1912,male,white,baker,new york,2,,
138,liverpool,adriatic,third,michael,nguyen,1,18/04/1912,18,4,1912,male,black,shoemaker,new york,1,,
139,liverpool,lusitania,third,destiny,ruiz-esparza,3,20/04/1912,20,4,1912,male,other,baker,new york,1,,
140,southampton,britannic,first,ashley,lords,66,16/04/1912,16,4,1912,male,asian,blacksmith,new york,3,,
141,liverpool,adriatic,second,gregory,frias chavez,26,16/04/1912,16,4,1912,male,hispanic,tailor,new york,2,,
142,liverpool,lusitania,second,hershel,kabotie,59,20/04/1912,20,4,1912,female,asian,farmer,cherbourg,3,,
143,southampton,olympic,third,robinson,xatkoun,1,17/04/1912,17,4,1912,male,asian,shoemaker,new york,2,,
144,liverpool,adriatic,second,jasmine,estrada,89,15/04/1912,15,4,1912,male,black,none,new york,4,,
145,liverpool,aquitania,third,sean,phu,16,17/04/1912,17,4,1912,female,black,shoemaker,new york,5,,
146,liverpool,lusitania,first,kendra,hill,18,19/04/1912,19,4,1912,male,other,miner,new york,5,,
147,southampton,britannic,second,elisabeth,thornton,7,20/04/1912,20,4,1912,female,white,none,new york,4,,
148,liverpool,aquitania,second,waajida,el-salehi,53,15/04/1912,15,4,1912,male,hispanic,tailor,new york,5,,
149,southampton,titanic,first,bryon,ortiz,69,20/04/1912,20,4,1912,female,asian,carpenter,new york,1,,
150,liverpool,lusitania,third,nathaniel,cook,4,19/04/1912,19,4,1912,female,other,miner,new york,2,,
151,southampton,britannic,second,hannah,upadhyay,41,19/04/1912,19,4,1912,female,hispanic,miner,new york,2,,
152,southampton,titanic,third,ian,roberts,90,17/04/1912,17,4,1912,male,asian,shoemaker,new york,2,,
153,liverpool,lusitania,third,sadeeqa,el-shaban,13,18/04/1912,18,4,1912,male,white,carpenter,new york,1,,
154,liverpool,adriatic,first,todd,herrera,25,19/04/1912,19,4,1912,male,asian,farmer,new york,3,,
155,liverpool,celtic,second,waseem,al-yasin,4,18/04/1912,18,4,1912,female,asian,weaver,new york,3,,
156,southampton,titanic,second,wesley,christensen,15,18/04/1912,18,4,1912,female,white,merchant,new york,5,,
157,southampton,titanic,first,ramzi,al-iman,11,15/04/1912,15,4,1912,male,white,blacksmith,new york,1,,
158,liverpool,adriatic,first,jonathan,blackmore,4,18/04/1912,18,4,1912,male,black,miner,new york,4,,
159,southampton,olympic,second,aadil,el-abbasi,13,18/04/1912,18,4,1912,female,asian,farmer,new york,2,,
160,southampton,olympic,third,wen hao,brooks,2,20/04/1912,20,4,1912,male,hispanic,blacksmith,new york,2,,
161,southampton,olympic,third,phanesha,marlow,0,17/04/1912,17,4,1912,female,hispanic,blacksmith,new york,5,,
162,southampton,titanic,third,ty'lia,harris,65,19/04/1912,19,4,1912,female,black,none,new york,2,,
163,southampton,olympic,second,guadalupe,juarez,87,15/04/1912,15,4,1912,female,white,baker,new york,3,,
164,southampton,britannic,second,gabrielle,mena,20,20/04/1912,20,4,1912,male,white,shoemaker,new york,3,,
165,liverpool,baltic,third,mayra,suazo,43,15/04/1912,15,4,1912,male,black,merchant,new york,5,,
166,southampton,olympic,first,jamal,wright-jackson,76,18/04/1912,18,4,1912,female,other,tailor,new york,4,,
167,liverpool,lusitania,third,julia,holiday,0,15/04/1912,15,4,1912,female,black,shoemaker,new york,5,,
168,liverpool,adriatic,first,joseph,baig,2,17/04/1912,17,4,1912,male,other,merchant,new york,3,,
169,southampton,titanic,third,robert,hauptman,8,16/04/1912,16,4,1912,female,black,tailor,new york,4,,
170,southampton,titanic,third,tiffany,yadav,no data,18/04/1912,18,4,1912,male,hispanic,tailor,new york,4,,
171,liverpool,baltic,third,leonardo,vazquez-luevano,56,19/04/1912,19,4,1912,female,other,miner,new york,3,,
172,liverpool,aquitania,second,naomi,olivares,19,20/04/1912,20,4,1912,male,asian,carpenter,new york,4,,"The entry nineteen-two as an 'age' variable is ambiguous. It could be nineteen years and two months but this would need to be confirmed from the source, if possible. For the current purpose of this dataset it will be entered as 19."
173,liverpool,lusitania,first,dede,hoover,6,19/04/1912,19,4,1912,male,hispanic,shoemaker,new york,3,,
174,liverpool,mauretania,first,larry,galassini,42,19/04/1912,19,4,1912,female,black,shoemaker,new york,1,,
175,liverpool,aquitania,third,cheyenne,mercado,86,19/04/1912,19,4,1912,male,hispanic,mason,new york,2,,
176,southampton,olympic,first,austin,hughes,19,18/04/1912,18,4,1912,female,hispanic,farmer,new york,1,,
177,liverpool,baltic,second,stephen,philpot,45,19/04/1912,19,4,1912,male,hispanic,baker,new york,3,,
178,southampton,olympic,second,dallas,ray,63,18/04/1912,18,4,1912,female,other,shoemaker,new york,2,,
179,southampton,olympic,third,kwame,anderson,52,18/04/1912,18,4,1912,female,black,carpenter,new york,1,,
180,liverpool,baltic,second,sequoya,brussel,33,16/04/1912,16,4,1912,male,hispanic,none,new york,3,,
181,liverpool,lusitania,first,donavahn,jung,0,18/04/1912,18,4,1912,male,black,blacksmith,new york,5,,
182,liverpool,celtic,first,sha-rheya,grant,51,18/04/1912,18,4,1912,female,white,merchant,new york,3,,
183,liverpool,lusitania,second,richard,mitchell,37,17/04/1912,17,4,1912,female,white,baker,cherbourg,3,,
184,southampton,titanic,third,raymond,wilson,13,15/04/1912,15,4,1912,female,other,blacksmith,cherbourg,2,,
185,southampton,olympic,first,jason,martin,54,19/04/1912,19,4,1912,male,white,mason,new york,5,,
186,liverpool,lusitania,first,kimberly,flores lopez,34,18/04/1912,18,4,1912,female,black,tailor,new york,4,,
187,liverpool,carpathia,first,thanh,niedringhaus,80,15/04/1912,15,4,1912,female,other,mason,new york,2,,
188,liverpool,celtic,first,isaac,campbell,26,15/04/1912,15,4,1912,male,asian,farmer,new york,2,,
189,southampton,titanic,first,andrea,minter,35,16/04/1912,16,4,1912,female,white,miner,cherbourg,1,,
190,liverpool,celtic,first,brittany,patterson,1,18/04/1912,18,4,1912,female,hispanic,miner,new york,2,,
191,southampton,britannic,third,michelle,dillingham,74,16/04/1912,16,4,1912,male,other,shoemaker,new york,5,,
192,liverpool,celtic,first,jocelyne,prince,2,19/04/1912,19,4,1912,male,white,carpenter,new york,4,,
193,liverpool,aquitania,second,donald,tolbertson,62,19/04/1912,19,4,1912,female,other,shoemaker,new york,2,,
194,liverpool,celtic,third,brandon,altman,19,20/04/1912,20,4,1912,female,other,farmer,new york,2,,"The entry nineteen-five as an 'age' variable is ambiguous. It could be nineteen years and five months but this would need to be confirmed from the source, if possible. For the current purpose of this dataset it will be entered as 19."
195,liverpool,lusitania,third,chelsie,sparks ii,77,20/04/1912,20,4,1912,female,black,tailor,new york,1,,
196,liverpool,aquitania,third,faseeha,al-reza,44,16/04/1912,16,4,1912,female,hispanic,baker,new york,3,,
197,southampton,britannic,second,maaiz,al-saleem,42,15/04/1912,15,4,1912,female,asian,none,new york,1,,
198,liverpool,mauretania,second,terryll,ola,no data,18/04/1912,18,4,1912,female,black,carpenter,new york,3,,
199,liverpool,lusitania,first,jasmine,lam,13,19/04/1912,19,4,1912,male,white,baker,new york,1,,
200,liverpool,baltic,third,alejandro,ouellette,55,17/04/1912,17,4,1912,female,white,tailor,new york,4,,
201,southampton,titanic,second,kaaryn,sabin,2,20/04/1912,20,4,1912,female,hispanic,merchant,new york,2,,
202,liverpool,lusitania,first,hadbaaa,al-yusuf,3,17/04/1912,17,4,1912,female,black,weaver,new york,1,,
203,southampton,britannic,first,philip,theune,7,16/04/1912,16,4,1912,female,asian,farmer,new york,1,,
204,southampton,britannic,third,rebecca,mader,96,16/04/1912,16,4,1912,male,black,shoemaker,new york,2,,
205,liverpool,adriatic,second,eugene,pham,14,15/04/1912,15,4,1912,female,black,none,new york,1,,
206,liverpool,lusitania,second,kaliyah,prince,7,18/04/1912,18,4,1912,female,white,none,cherbourg,4,,
207,southampton,britannic,first,sophie,gallogly,2,20/04/1912,20,4,1912,female,black,merchant,new york,3,,
208,liverpool,lusitania,first,ian,espinoza,66,19/04/1912,19,4,1912,female,asian,miner,new york,4,,
209,southampton,britannic,third,tyrel,hauptli,7,16/04/1912,16,4,1912,male,white,none,new york,1,,
210,southampton,britannic,third,allen,herrera,7,15/04/1912,15,4,1912,male,asian,miner,new york,5,,
211,southampton,titanic,first,taamir,el-gad,44,18/04/1912,18,4,1912,male,asian,blacksmith,new york,5,,
212,liverpool,baltic,second,malik,crowell,10,17/04/1912,17,4,1912,male,other,mason,new york,4,,
213,liverpool,celtic,first,kimiko,rachel,19,17/04/1912,17,4,1912,female,hispanic,weaver,new york,3,,"The entry nineteen-zero as an 'age' variable is ambiguous. It could be nineteen years and no months but this would need to be confirmed from the source, if possible. For the current purpose of this dataset it will be entered as 19."
214,liverpool,baltic,second,marinna,lindgren,0,18/04/1912,18,4,1912,female,black,tailor,new york,2,,
215,liverpool,aquitania,first,alexsiss,lincoln,4,18/04/1912,18,4,1912,male,white,mason,new york,3,,
216,liverpool,celtic,third,rockelle,bofill,35,16/04/1912,16,4,1912,male,white,blacksmith,cherbourg,2,,
217,southampton,titanic,third,nosakhare,phillips,27,15/04/1912,15,4,1912,male,black,none,new york,4,,
218,liverpool,carpathia,second,raihaana,al-hashim,4,19/04/1912,19,4,1912,male,other,carpenter,new york,4,,
219,liverpool,mauretania,second,rebekah,hill,53,17/04/1912,17,4,1912,female,asian,weaver,new york,3,,
220,southampton,britannic,third,hsiang,do,85,20/04/1912,20,4,1912,male,hispanic,baker,new york,2,,
221,liverpool,baltic,first,kristina,gutierrez,4,17/04/1912,17,4,1912,male,other,carpenter,new york,1,,
222,liverpool,carpathia,second,clint,carroll,19,16/04/1912,16,4,1912,male,hispanic,weaver,new york,1,,"The entry nineteen-six as an 'age' variable is ambiguous. It would could be nineteen years and six months but this would need to be confirmed from the source, if possible. For the current purpose of this dataset it will be entered as 19."
223,liverpool,celtic,second,aseel,el-mahfouz,88,19/04/1912,19,4,1912,male,other,miner,cherbourg,5,,
224,liverpool,aquitania,second,jacob,mohabes,74,20/04/1912,20,4,1912,female,black,blacksmith,new york,1,,
225,liverpool,celtic,first,khoa,tsumura,4,19/04/1912,19,4,1912,female,black,none,new york,5,,
226,southampton,britannic,second,enerel,love,76,16/04/1912,16,4,1912,female,black,baker,new york,5,,
227,southampton,britannic,first,virrilyn,mameda,99,19/04/1912,19,4,1912,male,white,miner,new york,5,,
228,liverpool,adriatic,third,cade,monroe,6,15/04/1912,15,4,1912,male,other,carpenter,new york,5,,
229,southampton,olympic,third,dionte,henderson,1,19/04/1912,19,4,1912,female,asian,tailor,new york,2,,
230,southampton,britannic,third,tanya,hernandez,8,16/04/1912,16,4,1912,male,black,shoemaker,new york,2,,
231,liverpool,lusitania,second,katherine,ascher,49,18/04/1912,18,4,1912,female,hispanic,farmer,new york,3,,
232,southampton,olympic,second,christian,nielson,75,18/04/1912,18,4,1912,male,asian,merchant,new york,5,,
233,southampton,britannic,third,anay,dye,21,20/04/1912,20,4,1912,female,other,miner,new york,4,,
234,liverpool,baltic,third,miranda,cipriani,41,17/04/1912,17,4,1912,male,other,baker,new york,5,,
235,liverpool,carpathia,first,kerrin,borum,41,19/04/1912,19,4,1912,female,other,merchant,cherbourg,5,,
236,liverpool,carpathia,second,ahmad,cunningham,76,15/04/1912,15,4,1912,female,hispanic,tailor,new york,3,,
237,southampton,titanic,second,thuanh,cheung,12,18/04/1912,18,4,1912,female,black,miner,new york,5,,
238,liverpool,lusitania,third,ashley,grado,96,18/04/1912,18,4,1912,female,asian,weaver,cherbourg,2,,
239,liverpool,aquitania,second,erik,wedemeyer,35,20/04/1912,20,4,1912,male,other,blacksmith,new york,3,,
240,liverpool,adriatic,first,nadeem,al-salah,66,20/04/1912,20,4,1912,female,other,weaver,cherbourg,5,,
241,liverpool,lusitania,third,courtni,perez,6,19/04/1912,19,4,1912,male,hispanic,farmer,new york,4,,
242,liverpool,adriatic,second,jerrica,faust,2,18/04/1912,18,4,1912,female,other,mason,new york,3,,
243,liverpool,carpathia,first,alani,perez ramirez,0,16/04/1912,16,4,1912,female,black,blacksmith,cherbourg,1,,
